Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.015,0.03,run_0,19,5,1.248752474784851,0.5600000023841858
0.015,0.03,run_1,16,5,1.3013052940368652,0.4399999976158142
0.015,0.03,run_2,28,2,1.3586400747299194,0.5833333134651184
0.015,0.03,run_3,19,1,1.2888935804367065,0.5833333134651184
0.015,0.03,run_4,27,1,1.2597993612289429,0.5833333134651184
0.015,0.03,run_5,12,6,0.9006373286247253,0.6666666865348816
0.015,0.03,run_6,22,5,1.423384189605713,0.5
0.015,0.03,run_7,18,1,0.7560345530509949,0.75
0.015,0.03,run_8,12,5,1.270463466644287,0.5
0.015,0.03,run_9,34,4,1.355841040611267,0.5416666865348816
0.015,0.025,run_0,30,5,1.183954119682312,0.6000000238418579
0.015,0.025,run_1,27,4,1.3221282958984375,0.5199999809265137
0.015,0.025,run_2,30,2,1.3855386972427368,0.5833333134651184
0.015,0.025,run_3,18,2,1.3547292947769165,0.5416666865348816
0.015,0.025,run_4,8,2,1.2895309925079346,0.5
0.015,0.025,run_5,28,3,1.3083714246749878,0.5416666865348816
0.015,0.025,run_6,3,3,0.9645121693611145,0.7083333134651184
0.015,0.025,run_7,20,7,1.0081812143325806,0.6666666865348816
0.015,0.025,run_8,3,4,1.035467505455017,0.5833333134651184
0.015,0.025,run_9,32,7,1.3196605443954468,0.5833333134651184
0.015,0.02,run_0,38,11,1.3295930624008179,0.6399999856948853
0.015,0.02,run_1,12,6,1.1356382369995117,0.47999998927116394
0.015,0.02,run_2,26,3,1.2861435413360596,0.5416666865348816
0.015,0.02,run_3,22,2,1.302063226699829,0.625
0.015,0.02,run_4,23,1,1.1977639198303223,0.5833333134651184
0.015,0.02,run_5,25,5,1.0542538166046143,0.625
0.015,0.02,run_6,11,2,1.290004014968872,0.5833333134651184
0.015,0.02,run_7,22,3,1.043169379234314,0.625
0.015,0.02,run_8,21,3,1.1124706268310547,0.6666666865348816
0.015,0.02,run_9,9,4,1.230194330215454,0.5
0.0125,0.03,run_0,18,2,1.1515339612960815,0.6000000238418579
0.0125,0.03,run_1,30,5,1.246999979019165,0.47999998927116394
0.0125,0.03,run_2,16,25,1.3686723709106445,0.5833333134651184
0.0125,0.03,run_3,29,4,1.2039169073104858,0.5833333134651184
0.0125,0.03,run_4,6,6,1.182213306427002,0.5416666865348816
0.0125,0.03,run_5,1,5,1.2363014221191406,0.4583333432674408
0.0125,0.03,run_6,23,4,1.234362006187439,0.6666666865348816
0.0125,0.03,run_7,9,11,1.223937749862671,0.625
0.0125,0.03,run_8,21,6,1.201363444328308,0.5
0.0125,0.03,run_9,25,5,1.2522120475769043,0.5833333134651184
0.0125,0.025,run_0,28,4,0.9761035442352295,0.6800000071525574
0.0125,0.025,run_1,10,19,1.3291682004928589,0.5600000023841858
0.0125,0.025,run_2,22,1,1.3491472005844116,0.625
0.0125,0.025,run_3,30,2,1.334032416343689,0.5
0.0125,0.025,run_4,15,4,1.2641029357910156,0.5833333134651184
0.0125,0.025,run_5,22,2,1.3009874820709229,0.5833333134651184
0.0125,0.025,run_6,19,1,1.1234517097473145,0.625
0.0125,0.025,run_7,10,5,1.0350998640060425,0.5
0.0125,0.025,run_8,3,5,1.1270205974578857,0.5833333134651184
0.0125,0.025,run_9,26,5,1.2286322116851807,0.5
0.0125,0.02,run_0,18,5,1.1905723810195923,0.5600000023841858
0.0125,0.02,run_1,26,2,1.4155659675598145,0.5199999809265137
0.0125,0.02,run_2,27,5,1.251299262046814,0.5833333134651184
0.0125,0.02,run_3,27,4,1.2960984706878662,0.4583333432674408
0.0125,0.02,run_4,18,5,0.8980900645256042,0.6666666865348816
0.0125,0.02,run_5,36,9,1.2445663213729858,0.5416666865348816
0.0125,0.02,run_6,34,5,1.210015058517456,0.5416666865348816
0.0125,0.02,run_7,38,5,1.1897939443588257,0.625
0.0125,0.02,run_8,26,7,1.184791088104248,0.5833333134651184
0.0125,0.02,run_9,19,8,1.2822352647781372,0.5416666865348816
0.01,0.03,run_0,38,5,1.1081794500350952,0.47999998927116394
0.01,0.03,run_1,32,13,1.2333698272705078,0.5600000023841858
0.01,0.03,run_2,31,1,1.1814289093017578,0.625
0.01,0.03,run_3,19,3,1.4066909551620483,0.4166666567325592
0.01,0.03,run_4,1,7,1.3068971633911133,0.5
0.01,0.03,run_5,28,5,1.148563265800476,0.5416666865348816
0.01,0.03,run_6,38,5,1.2683346271514893,0.5833333134651184
0.01,0.03,run_7,27,4,0.8755380511283875,0.75
0.01,0.03,run_8,8,5,1.3314160108566284,0.4166666567325592
0.01,0.03,run_9,13,2,1.24189031124115,0.5416666865348816
0.01,0.025,run_0,51,5,1.3754774332046509,0.5199999809265137
0.01,0.025,run_1,36,2,1.0728598833084106,0.6800000071525574
0.01,0.025,run_2,5,12,1.1180543899536133,0.5416666865348816
0.01,0.025,run_3,30,3,1.0693613290786743,0.625
0.01,0.025,run_4,37,5,1.3336843252182007,0.5833333134651184
0.01,0.025,run_5,29,2,1.0663065910339355,0.625
0.01,0.025,run_6,26,6,1.24831223487854,0.4583333432674408
0.01,0.025,run_7,33,8,1.3421834707260132,0.5
0.01,0.025,run_8,28,5,1.3233569860458374,0.5416666865348816
0.01,0.025,run_9,21,11,0.9327829480171204,0.7083333134651184
0.01,0.02,run_0,24,4,1.2625739574432373,0.5600000023841858
0.01,0.02,run_1,38,5,1.115941047668457,0.6000000238418579
0.01,0.02,run_2,43,18,1.1798967123031616,0.75
0.01,0.02,run_3,26,8,1.2801518440246582,0.5
0.01,0.02,run_4,43,5,1.4233356714248657,0.5
0.01,0.02,run_5,24,1,1.3259689807891846,0.5
0.01,0.02,run_6,16,3,1.0452266931533813,0.5416666865348816
0.01,0.02,run_7,17,5,1.500810980796814,0.5416666865348816
0.01,0.02,run_8,22,2,0.6470769047737122,0.7916666865348816
0.01,0.02,run_9,7,6,1.2038131952285767,0.375
